customer_id,predicted_cltv,horizon_months
USER_006541,1397.422,12
USER_007305,907.7619,12
USER_000782,1606.7131,12
USER_008400,418.51895,12
USER_004974,506.4826,12
USER_007266,428.55792,12
USER_006707,1922.6436,12
USER_007756,616.06995,12
USER_006145,2269.261,12
USER_002136,2232.3003,12
USER_007700,3885.9385,12
USER_007443,622.6111,12
USER_008666,268.35303,12
USER_002316,2969.6958,12
USER_004698,1806.4651,12
USER_006520,1094.425,12
USER_002887,1551.0109,12
USER_001461,6256.615,12
USER_008279,705.8923,12
USER_006021,294.33145,12
USER_000786,1748.4458,12
USER_002865,352.1761,12
USER_009525,1713.9662,12
USER_003631,468.66553,12
USER_008490,2214.355,12
USER_005085,1191.6854,12
USER_000611,2054.376,12
USER_001815,2853.0183,12
USER_003673,396.81094,12
USER_008362,1031.2458,12
USER_001512,2405.511,12
USER_005079,3355.409,12
USER_000704,2903.298,12
USER_006544,2114.8777,12
USER_004420,438.7687,12
USER_007215,1396.9316,12
USER_008813,1392.511,12
USER_003743,921.0686,12
USER_009339,1451.4121,12
USER_002828,3403.8438,12
USER_005974,443.76215,12
USER_002386,662.1591,12
USER_009397,2430.6812,12
USER_005054,1322.9457,12
USER_001809,2814.2512,12
USER_009816,2223.1094,12
USER_000054,2140.505,12
USER_001362,2865.929,12
USER_007057,1807.536,12
USER_004382,1873.9276,12
USER_007360,223.61856,12
USER_000210,2465.701,12
USER_006789,983.17755,12
USER_008731,2576.3765,12
USER_002792,1801.9816,12
USER_004639,5132.0376,12
USER_001310,2567.3196,12
USER_004893,2490.8384,12
USER_005044,1260.6516,12
USER_004268,484.67188,12
USER_000202,3180.7205,12
USER_007685,589.1316,12
USER_007440,576.16534,12
USER_002740,2462.0208,12
USER_002684,1678.4235,12
USER_008194,1641.6394,12
USER_003187,754.0585,12
USER_008350,1665.4028,12
USER_009406,706.9169,12
USER_002137,736.8596,12
USER_009130,1744.9703,12
USER_000369,2822.9126,12
USER_007233,2577.067,12
USER_009533,1948.742,12
USER_001691,1733.068,12
USER_001214,716.7465,12
USER_009082,1929.8533,12
USER_008084,339.69363,12
USER_000213,3302.1719,12
USER_001915,1897.7136,12
USER_007429,480.32626,12
USER_001361,2605.8804,12
USER_001954,1079.883,12
USER_006310,1094.2764,12
USER_005542,1300.405,12
USER_005110,448.1955,12
USER_000471,2809.1233,12
USER_009335,2104.1553,12
USER_003427,527.3084,12
USER_009604,2133.6396,12
USER_002798,1600.7396,12
USER_008524,970.5746,12
USER_001721,2630.7083,12
USER_000962,2451.9011,12
USER_001134,1374.0885,12
USER_001117,3438.493,12
USER_004076,1437.4427,12
USER_002255,587.42334,12
USER_006526,1819.0039,12
USER_000464,775.54065,12
USER_004210,1237.1768,12
USER_002823,234.70905,12
USER_007452,125.71955,12
USER_009091,1367.834,12
USER_001861,786.80804,12
USER_002522,2760.9226,12
USER_003876,216.69455,12
USER_000559,2617.3645,12
USER_009085,1761.3157,12
USER_001442,1031.7499,12
USER_002123,1790.6462,12
USER_007489,436.07574,12
USER_007163,549.9247,12
USER_003735,835.92206,12
USER_000758,2623.5527,12
USER_005559,1047.2961,12
USER_006082,1153.9465,12
USER_005387,194.98755,12
USER_000348,1934.1089,12
USER_000894,499.5251,12
USER_005137,212.62364,12
USER_000879,2543.641,12
USER_000652,3341.94,12
USER_003845,4123.035,12
USER_002666,3274.8188,12
USER_000132,3781.719,12
USER_006861,639.7003,12
USER_005723,605.7325,12
USER_001582,1665.3112,12
USER_009489,1310.9806,12
USER_006059,1663.8949,12
USER_002415,2635.28,12
USER_007949,855.119,12
USER_001363,690.2604,12
USER_002049,2083.566,12
USER_004317,1912.3252,12
USER_000167,2940.1284,12
USER_001730,742.82355,12
USER_001164,886.41205,12
USER_006153,1299.7798,12
USER_004835,2851.9653,12
USER_002467,2402.3608,12
USER_008518,2568.3582,12
USER_009766,1125.4524,12
USER_007637,115.11907,12
USER_002994,2103.0186,12
USER_003880,1183.6921,12
USER_006064,1496.9117,12
USER_004468,8706.928,12
USER_005765,1305.8829,12
USER_008241,675.50964,12
USER_002556,735.15326,12
USER_002820,496.35617,12
USER_003921,1446.9321,12
USER_006975,449.14703,12
USER_007989,736.13824,12
USER_003102,2842.2075,12
USER_005364,853.74866,12
USER_002526,2886.5305,12
USER_004104,703.20605,12
USER_002845,2665.633,12
USER_005993,1580.3517,12
USER_001754,1952.037,12
USER_002397,2933.6235,12
USER_009364,549.9598,12
USER_002243,1510.6265,12
USER_007419,344.2682,12
USER_000697,2272.2158,12
USER_008633,251.78061,12
USER_003972,455.00784,12
USER_009270,413.398,12
USER_003464,3366.7837,12
USER_007070,196.77206,12
USER_009384,1568.2947,12
USER_003585,294.50095,12
USER_000713,2773.3992,12
USER_004902,98.25491,12
USER_002951,2028.5199,12
USER_007558,878.7046,12
USER_008435,371.63782,12
USER_007008,1862.5419,12
