customer_id,recency,frequency,monetary_value,CLTV,segment,lifetime_days
USER_000001,8,268,71311.82,143156.42,Champions,355
USER_000002,38,110,27263.71,54527.0,Loyal Regulars,328
USER_000003,27,9,1814.01,4031.2,At Risk,289
USER_000004,72,10,2439.75,5855.28,At Risk,236
USER_000005,17,11,3382.61,6765.22,Potential regulars,340
USER_000006,22,11,3010.76,7116.46,At Risk,286
USER_000007,90,10,3336.74,7340.74,At Risk,237
USER_000008,116,5,1178.7,2357.4,Inactive,219
USER_000009,38,12,2915.32,5830.56,At Risk,318
USER_000010,12,10,2886.99,5774.0,Potential regulars,348
USER_000011,54,11,3242.02,10020.82,At Risk,185
USER_000012,52,15,3915.18,9918.38,At Risk,233
USER_000013,13,8,1992.08,4482.18,Potential regulars,324
USER_000014,66,10,2150.14,4730.22,At Risk,281
USER_000015,43,9,1602.12,3560.2,At Risk,280
USER_000016,27,14,3988.16,9685.58,At Risk,280
USER_000017,34,6,1682.54,3925.88,At Risk,267
USER_000018,2,11,4166.88,9091.44,Potential regulars,335
USER_000019,10,7,1657.75,3789.12,Potential regulars,320
USER_000020,42,14,2831.78,6068.1,At Risk,307
USER_000021,26,9,2174.03,4831.2,At Risk,306
USER_000022,116,8,2995.17,6739.2,Inactive,225
USER_000023,51,3,493.74,2304.12,At Risk,112
USER_000024,4,14,3931.96,7863.8,Potential regulars,354
USER_000025,40,6,1562.58,3125.16,At Risk,322
USER_000026,30,10,2959.53,7102.8,At Risk,270
USER_000027,72,10,2498.15,4996.4,At Risk,283
USER_000028,13,13,4960.55,9921.08,Potential regulars,349
USER_000029,8,12,3813.08,8261.76,Potential regulars,341
USER_000030,29,9,2340.74,5201.6,At Risk,301
USER_000031,13,11,3173.12,6346.34,Potential regulars,352
USER_000032,49,9,2130.27,4734.0,At Risk,295
USER_000033,54,10,3519.03,7038.0,At Risk,312
USER_000034,41,7,1291.8,3321.72,At Risk,252
USER_000035,52,12,3352.9,8382.3,At Risk,237
USER_000036,90,11,3158.96,6317.96,At Risk,273
USER_000037,150,8,2083.74,4167.52,Inactive,204
USER_000038,32,8,1963.03,4907.6,At Risk,255
USER_000039,62,9,2231.51,4463.1,At Risk,287
USER_000040,42,7,2745.36,7843.8,At Risk,221
USER_000041,45,11,2269.66,4539.26,At Risk,313
USER_000042,22,6,3364.73,6729.48,At Risk,323
USER_000043,4,13,3046.85,6562.36,Potential regulars,334
USER_000044,67,7,1362.37,2724.68,At Risk,290
USER_000045,17,9,2128.14,4729.2,Potential regulars,319
USER_000046,54,7,1888.47,4316.48,At Risk,286
USER_000047,27,6,1906.59,4448.64,At Risk,270
USER_000048,1,10,2603.71,6248.88,Potential regulars,314
USER_000049,26,15,4821.74,11572.2,At Risk,272
USER_000050,35,9,2405.04,4810.14,At Risk,322
USER_000051,38,8,1331.68,2996.28,At Risk,280
USER_000052,85,5,2591.43,5182.9,At Risk,253
USER_000053,71,4,859.81,1719.6,Inactive,261
USER_000054,22,7,2152.22,4304.44,At Risk,331
USER_000055,68,5,1159.58,2783.04,At Risk,254
USER_000056,12,14,2785.6,6367.04,Potential regulars,312
USER_000057,16,8,1923.63,4328.1,Potential regulars,298
USER_000058,4,13,3991.56,7983.04,Potential regulars,361
USER_000059,51,6,1664.58,3884.02,At Risk,250
USER_000060,10,8,2729.63,6141.6,Potential regulars,325
USER_000061,164,8,1852.95,3705.92,Inactive,184
USER_000062,15,11,2880.08,6283.92,Potential regulars,326
USER_000063,45,11,3011.52,6022.94,At Risk,316
USER_000064,141,11,3314.19,7230.96,Inactive,187
USER_000065,3,8,2857.14,8571.36,Potential regulars,236
USER_000066,14,16,5590.26,11180.48,Potential regulars,349
USER_000067,48,8,1687.39,5483.92,At Risk,184
USER_000068,89,7,2358.99,5392.0,At Risk,238
USER_000069,63,9,2958.0,5916.06,At Risk,303
USER_000070,7,10,2460.74,5413.54,Potential regulars,319
USER_000071,58,9,2344.29,4688.64,At Risk,302
USER_000072,19,6,1606.99,3749.62,Potential regulars,311
USER_000073,8,9,1784.91,3966.4,Potential regulars,322
USER_000074,35,3,956.86,1913.7,Inactive,325
USER_000075,76,10,3089.95,6798.0,At Risk,255
USER_000076,70,11,2152.55,4305.18,At Risk,285
USER_000077,54,10,3164.73,6962.34,At Risk,285
USER_000078,54,5,1681.48,3363.0,At Risk,287
USER_000079,130,5,1089.1,2178.2,Inactive,222
USER_000080,66,13,2351.56,6150.26,At Risk,212
USER_000081,30,13,2734.0,5468.06,At Risk,335
USER_000082,95,6,2028.74,4057.44,Inactive,267
USER_000083,65,8,2637.24,5274.56,At Risk,287
USER_000084,42,9,2011.0,4021.92,At Risk,318
USER_000085,50,7,1856.1,4772.88,At Risk,233
USER_000086,24,12,3047.55,7110.88,At Risk,292
USER_000087,84,8,2459.34,7378.08,At Risk,156
USER_000088,18,9,2801.66,5603.4,Potential regulars,332
USER_000089,26,9,2401.68,4803.3,At Risk,322
USER_000090,59,8,1639.67,3279.36,At Risk,305
USER_000091,9,13,4156.26,9591.3,Potential regulars,307
USER_000092,69,8,2620.14,5895.36,At Risk,239
USER_000093,61,10,5580.2,12276.44,At Risk,263
USER_000094,45,13,3442.97,7415.52,At Risk,285
USER_000095,68,12,3615.19,9038.1,At Risk,232
USER_000096,2,11,2627.49,5254.92,Potential regulars,348
USER_000097,74,10,3485.61,8365.44,At Risk,236
USER_000098,80,10,2489.16,6969.76,At Risk,178
USER_000099,48,12,3208.38,6416.88,At Risk,318
USER_000100,3,13,2777.27,5554.64,Potential regulars,353
USER_000101,79,9,1526.34,3391.8,At Risk,266
USER_000102,21,11,3415.63,6831.22,Potential regulars,336
USER_000103,179,6,1458.79,2917.56,Inactive,178
USER_000104,9,7,2957.02,8448.6,Potential regulars,257
USER_000105,33,10,3571.0,10713.0,At Risk,203
USER_000106,12,17,5072.06,10740.96,Potential regulars,339
USER_000107,40,11,2146.95,4684.32,At Risk,284
USER_000108,50,6,3205.23,8547.36,At Risk,237
USER_000109,62,10,2676.52,5888.3,At Risk,256
USER_000110,50,8,2081.98,5205.0,At Risk,233
USER_000111,16,10,1994.3,4786.32,Potential regulars,298
USER_000112,34,10,2484.13,4968.2,At Risk,331
USER_000113,22,12,4826.76,10457.98,At Risk,324
USER_000114,66,15,2942.96,7063.2,At Risk,238
USER_000115,2,8,1652.28,3304.48,Potential regulars,359
USER_000116,50,12,3536.22,7661.94,At Risk,291
USER_000117,2,8,2063.9,4643.82,Potential regulars,317
USER_000118,55,8,1210.39,2420.8,At Risk,291
USER_000119,1,8,2756.08,7579.22,Potential regulars,275
USER_000120,34,13,5007.88,10786.16,At Risk,312
USER_000121,198,5,1590.76,3817.8,Inactive,126
USER_000122,41,7,1760.28,3520.58,At Risk,303
USER_000123,54,6,1483.41,3461.22,At Risk,250
USER_000124,43,13,3026.62,6518.96,At Risk,291
USER_000125,44,5,1357.08,3257.04,At Risk,269
USER_000126,10,9,2804.63,8725.64,Potential regulars,225
USER_000127,92,7,1315.04,2630.04,Inactive,271
USER_000128,5,10,3032.88,6672.38,Potential regulars,328
USER_000129,6,11,3503.84,7644.72,Potential regulars,325
USER_000130,1,13,3798.8,7597.72,Potential regulars,364
USER_000131,59,9,2121.66,4243.32,At Risk,299
USER_000132,4,10,3466.6,7626.52,Potential regulars,338
USER_000133,90,10,2324.97,4650.0,At Risk,267
USER_000134,110,7,1284.58,2569.14,Inactive,243
USER_000135,20,13,4353.12,9376.08,Potential regulars,329
USER_000136,61,8,2013.5,4530.42,At Risk,277
USER_000137,28,11,2866.53,7817.7,At Risk,248
USER_000138,29,11,2464.35,5376.72,At Risk,296
USER_000139,47,6,1984.27,3968.52,At Risk,292
USER_000140,17,8,3590.5,7180.96,Potential regulars,345
USER_000141,11,11,2981.02,6504.0,Potential regulars,325
USER_000142,42,6,1206.98,2413.92,At Risk,319
USER_000143,17,9,1804.23,5212.22,Potential regulars,244
USER_000144,21,9,2808.93,6242.0,Potential regulars,312
USER_000145,5,12,5188.78,11242.4,Potential regulars,329
USER_000146,38,12,2557.77,5541.9,At Risk,304
USER_000147,74,3,824.13,2747.1,At Risk,139
USER_000148,12,8,2138.43,4811.4,Potential regulars,318
USER_000149,12,9,2552.31,5671.8,Potential regulars,312
USER_000150,62,11,3916.74,7833.54,At Risk,298
USER_000151,38,6,1289.51,2579.04,At Risk,312
USER_000152,104,14,4626.06,9252.04,Inactive,259
USER_000153,16,14,3088.88,6618.9,Potential regulars,329
USER_000154,80,12,3753.54,7507.2,At Risk,272
USER_000155,11,8,2842.65,5685.28,Potential regulars,333
USER_000156,44,9,2269.88,4539.78,At Risk,308
USER_000157,13,11,2241.06,4889.52,Potential regulars,319
USER_000158,11,16,4323.5,10268.36,Potential regulars,290
USER_000159,4,6,1389.11,2778.24,Potential regulars,349
USER_000160,60,8,2321.95,4643.84,At Risk,305
USER_000161,158,4,717.63,1435.28,Inactive,205
USER_000162,14,10,2796.26,5592.6,Potential regulars,339
USER_000163,55,11,3266.38,7126.56,At Risk,280
USER_000164,27,9,1999.5,4443.4,At Risk,303
USER_000165,34,7,1257.85,2515.66,At Risk,330
USER_000166,5,7,2206.33,5043.04,Potential regulars,319
USER_000167,14,7,2554.26,5838.24,Potential regulars,315
USER_000168,23,7,1832.02,4710.96,At Risk,249
USER_000169,50,8,2512.35,5024.64,At Risk,305
USER_000170,130,4,1139.43,3418.32,Inactive,131
USER_000171,50,7,1555.58,3555.68,At Risk,259
USER_000172,85,14,3717.56,7435.12,At Risk,271
USER_000173,24,14,4813.42,10314.6,At Risk,323
USER_000174,118,7,2129.9,4259.78,Inactive,230
USER_000175,7,12,4210.76,8421.6,Potential regulars,357
USER_000176,98,5,1597.05,3194.1,Inactive,250
USER_000177,76,9,2566.36,5703.0,At Risk,269
USER_000178,14,6,1612.91,4838.76,Potential regulars,232
USER_000179,53,6,1172.71,2736.3,At Risk,282
USER_000180,70,7,1681.43,3362.8,At Risk,285
USER_000181,136,4,1196.6,2991.5,Inactive,165
USER_000182,111,6,1035.36,2070.72,Inactive,249
USER_000183,123,7,2603.62,5951.2,Inactive,190
USER_000184,63,7,1126.16,2895.84,At Risk,228
USER_000185,45,7,3032.24,6064.52,At Risk,318
USER_000186,24,14,2689.62,6147.84,At Risk,300
USER_000187,7,11,2851.08,6738.94,Potential regulars,296
USER_000188,45,6,886.19,1772.4,At Risk,319
USER_000189,12,14,2818.04,6441.28,Potential regulars,310
USER_000190,44,11,3544.64,7733.76,At Risk,298
USER_000191,57,10,2155.1,4741.22,At Risk,265
USER_000192,39,13,4264.66,8529.3,At Risk,322
USER_000193,91,7,1706.15,4874.8,Inactive,170
USER_000194,30,7,1321.62,3020.8,At Risk,291
USER_000195,21,6,1185.78,2371.56,Potential regulars,334
USER_000196,89,7,1736.16,3968.32,At Risk,217
USER_000197,151,4,1896.16,5688.48,Inactive,97
USER_000198,25,14,4217.37,8434.72,At Risk,331
USER_000199,33,7,1178.48,2356.9,At Risk,319
USER_000200,19,9,2337.82,4675.68,Potential regulars,346
USER_000201,55,14,2872.5,5745.04,At Risk,302
USER_000202,34,14,3152.34,6304.76,At Risk,328
USER_000203,25,9,1473.78,2947.5,At Risk,336
USER_000204,66,11,2953.59,6444.24,At Risk,267
USER_000205,14,10,1849.84,4809.48,Potential regulars,260
USER_000206,8,9,2738.48,6085.6,Potential regulars,325
USER_000207,8,7,2100.89,4201.82,Potential regulars,334
USER_000208,47,9,2071.19,4602.6,At Risk,276
USER_000209,56,9,1986.52,4414.4,At Risk,273
USER_000210,123,10,2466.43,4932.8,Inactive,228
USER_000211,32,9,3034.4,6743.2,At Risk,297
USER_000212,27,6,2717.34,9963.58,At Risk,179
USER_000213,7,11,3244.3,6488.68,Potential regulars,358
USER_000214,22,16,4238.02,8476.16,At Risk,332
USER_000215,62,6,1274.16,2548.32,At Risk,281
USER_000216,116,6,1248.95,2497.92,Inactive,228
USER_000217,75,10,3716.39,8176.08,At Risk,261
USER_000218,113,9,2201.19,4891.6,Inactive,219
USER_000219,24,11,3589.46,7831.44,At Risk,310
